action,category,os,signature,"signature_id",subcategory,status,object,"object_category"
unknown,"Object Access","Windows Vista, Windows Server 2008","A registry value was modified.",4657,Registry,,,
success,"Object Access","Windows Vista, Windows Server 2008","The handle to an object was closed.",4658,"Handle Manipulation",,,
unknown,"Object Access","Windows Vista, Windows Server 2008","A handle to an object was requested with intent to delete.",4659,Special,,,
unknown,"Object Access","Windows Vista, Windows Server 2008","An object was deleted.",4660,Special,,,
success,"Object Access","Windows Vista, Windows Server 2008","A handle to an object was requested.",4661,Special,,,
success,"DS Access","Windows Vista, Windows Server 2008","An operation was performed on an object.",4662,"Directory Service Access",,,
success,"Object Access","Windows Vista, Windows Server 2008","An attempt was made to access an object.",4663,Special,,,
success,"Object Access","Windows Vista, Windows Server 2008","An attempt was made to create a hard link.",4664,"File System",,,
unknown,"Object Access","Windows Vista, Windows Server 2008","An attempt was made to create an application client context.",4665,"Application Generated",,,
unknown,"Object Access","Windows Vista, Windows Server 2008","An application attempted an operation:",4666,"Application Generated",,,
unknown,"Object Access","Windows Vista, Windows Server 2008","An application client context was deleted.",4667,"Application Generated",,,
unknown,"Object Access","Windows Vista, Windows Server 2008","An application was initialized.",4668,"Application Generated",,,
success,"Policy Change","Windows Vista, Windows Server 2008","Permissions on an object were changed.",4670,"Subcategory (special)",,,
unknown,"Object Access","Windows Vista, Windows Server 2008","An application attempted to access a blocked ordinal through the TBS.",4671,"Other Object Access Events",,,
success,"Privilege Use","Windows Vista, Windows Server 2008","Special privileges assigned to new logon.",4672,"Sensitive Privilege Use / Non Sensitive Privilege Use",,,
failure,"Privilege Use","Windows Vista, Windows Server 2008","A privileged service was called.",4673,"Sensitive Privilege Use / Non Sensitive Privilege Use",,,
success,"Privilege Use","Windows Vista, Windows Server 2008","An operation was attempted on a privileged object.",4674,"Sensitive Privilege Use / Non Sensitive Privilege Use",,,
unknown,"Logon/Logoff","Windows Vista, Windows Server 2008","SIDs were filtered.",4675,Logon,,,
success,"Detailed Tracking","Windows Vista, Windows Server 2008","A new process has been created.",4688,"Process Creation",,,
success,"Detailed Tracking","Windows Vista, Windows Server 2008","A process has exited.",4689,"Process Termination",,,
success,"Object Access","Windows Vista, Windows Server 2008","An attempt was made to duplicate a handle to an object.",4690,"Handle Manipulation",,,
unknown,"Object Access","Windows Vista, Windows Server 2008","Indirect access to an object was requested.",4691,"Other Object Access Events",,,
unknown,"Detailed Tracking","Windows Vista, Windows Server 2008","Backup of data protection master key was attempted.",4692,"DPAPI Activity",,,
unknown,"Detailed Tracking","Windows Vista, Windows Server 2008","Recovery of data protection master key was attempted.",4693,"DPAPI Activity",,,
unknown,"Detailed Tracking","Windows Vista, Windows Server 2008","Protection of auditable protected data was attempted.",4694,"DPAPI Activity",,,
unknown,"Detailed Tracking","Windows Vista, Windows Server 2008","Unprotection of auditable protected data was attempted.",4695,"DPAPI Activity",,,
unknown,"Detailed Tracking","Windows Vista, Windows Server 2008","A primary token was assigned to process.",4696,"Process Creation",,,
unknown,System,"Windows Vista, Windows Server 2008","A service was installed in the system.",4697,"Security System Extension",,,
unknown,"Object Access","Windows Vista, Windows Server 2008","A scheduled task was created.",4698,"Other Object Access Events",,,
unknown,"Object Access","Windows Vista, Windows Server 2008","A scheduled task was deleted.",4699,"Other Object Access Events",,,
unknown,"Object Access","Windows Vista, Windows Server 2008","A scheduled task was enabled.",4700,"Other Object Access Events",,,
unknown,"Object Access","Windows Vista, Windows Server 2008","A scheduled task was disabled.",4701,"Other Object Access Events",,,
success,"Object Access","Windows Vista, Windows Server 2008","A scheduled task was updated.",4702,"Other Object Access Events",,,
success,"Policy Change","Windows Vista, Windows Server 2008","A user right was assigned.",4704,"Authorization Policy Change",,,
unknown,"Policy Change","Windows Vista, Windows Server 2008","A user right was removed.",4705,"Authorization Policy Change",,,
unknown,"Policy Change","Windows Vista, Windows Server 2008","A new trust was created to a domain.",4706,"Authorization Policy Change",,,
unknown,"Policy Change","Windows Vista, Windows Server 2008","A trust to a domain was removed.",4707,"Authorization Policy Change",,,
unknown,"Policy Change","Windows Vista, Windows Server 2008","IPsec Services was started.",4709,"Filtering Platform Policy Change",,,
unknown,"Policy Change","Windows Vista, Windows Server 2008","IPsec Services was disabled.",4710,"Filtering Platform Policy Change",,,
unknown,"Policy Change","Windows Vista, Windows Server 2008","May contain any one of the following: PAStore Engine applied locally cached copy of Active Directory storage IPsec policy on the computer.^MPAStore Engine applied Active Directory storage IPsec policy on the computer.^MPAStore Engine applied local registry storage IPsec policy on the computer.^MPAStore Engine failed to apply locally cached copy of Active Directory storage IPsec policy on the computer.^MPAStore Engine failed to apply Active Directory storage IPsec policy on the computer.^MPAStore Engine failed to apply local registry storage IPsec policy on the computer.^MPAStore Engine failed to apply some rules of the active IPsec policy on the computer.^MPAStore Engine failed to load directory storage IPsec policy on the computer.^MPAStore Engine loaded directory storage IPsec policy on the computer.^MPAStore Engine failed to load local storage IPsec policy on the computer.^MPAStore Engine loaded local storage IPsec policy on the computer.^MPAStore Engine polled for changes to the active IPsec policy and detected no changes.",4711,"Filtering Platform Policy Change",,,
unknown,"Policy Change","Windows Vista, Windows Server 2008","IPsec Services encountered a potentially serious failure.",4712,"Filtering Platform Policy Change",,,
unknown,"Policy Change","Windows Vista, Windows Server 2008","Kerberos policy was changed.",4713,"Authentication Policy Change",,,
unknown,"Policy Change","Windows Vista, Windows Server 2008","Encrypted data recovery policy was changed.",4714,"Authorization Policy Change",,,
unknown,"Policy Change","Windows Vista, Windows Server 2008","The audit policy (SACL) on an object was changed.",4715,"Audit Policy Change",,,
unknown,"Policy Change","Windows Vista, Windows Server 2008","Trusted domain information was modified.",4716,"Authentication Policy Change",,,
success,"Policy Change","Windows Vista, Windows Server 2008","System security access was granted to an account.",4717,"Authentication Policy Change",,,
unknown,"Policy Change","Windows Vista, Windows Server 2008","System security access was removed from an account.",4718,"Authentication Policy Change",,,
unknown,"Policy Change","Windows Vista, Windows Server 2008","System audit policy was changed.",4719,"Audit Policy Change",,,
created,"Account Management","Windows Vista, Windows Server 2008","A user account was created.",4720,"User Account Management",,,user
modified,"Account Management","Windows Vista, Windows Server 2008","A user account was enabled.",4722,"User Account Management",,,user
modified,"Account Management","Windows Vista, Windows Server 2008","An attempt was made to change an account's password.",4723,"User Account Management",,,user
modified,"Account Management","Windows Vista, Windows Server 2008","An attempt was made to reset an account's password.",4724,"User Account Management",,,user
modified,"Account Management","Windows Vista, Windows Server 2008","A user account was disabled.",4725,"User Account Management",,,user
deleted,"Account Management","Windows Vista, Windows Server 2008","A user account was deleted.",4726,"User Account Management",,,user
success,"Account Management","Windows Vista, Windows Server 2008","A security-enabled global group was created.",4727,"Security Group Management",,,
success,"Account Management","Windows Vista, Windows Server 2008","A member was added to a security-enabled global group.",4728,"Security Group Management",,,
success,"Account Management","Windows Vista, Windows Server 2008","A member was removed from a security-enabled global group.",4729,"Security Group Management",,,
unknown,"Account Management","Windows Vista, Windows Server 2008","A security-enabled global group was deleted.",4730,"Security Group Management",,,
unknown,"Account Management","Windows Vista, Windows Server 2008","A security-enabled local group was created.",4731,"Security Group Management",,,
success,"Account Management","Windows Vista, Windows Server 2008","A member was added to a security-enabled local group.",4732,"Security Group Management",,,
success,"Account Management","Windows Vista, Windows Server 2008","A member was removed from a security-enabled local group.",4733,"Security Group Management",,,
unknown,"Account Management","Windows Vista, Windows Server 2008","A security-enabled local group was deleted.",4734,"Security Group Management",,,
success,"Account Management","Windows Vista, Windows Server 2008","A security-enabled local group was changed.",4735,"Security Group Management",,,
success,"Account Management","Windows Vista, Windows Server 2008","A security-enabled global group was changed.",4737,"Security Group Management",,,
modified,"Account Management","Windows Vista, Windows Server 2008","A user account was changed.",4738,"User Account Management",success,"User Account Management",user
unknown,"Policy Change","Windows Vista, Windows Server 2008","Domain Policy was changed.",4739,"Authentication Policy Change",,,
unknown,"Account Management","Windows Vista, Windows Server 2008","A user account was locked out.",4740,"User Account Management",,,
modified,"Account Management","Windows Vista, Windows Server 2008","A computer account was changed.",4742,"Computer Account Management",,,
unknown,"Account Management","Windows Vista, Windows Server 2008","A computer account was deleted.",4743,"Computer Account Management",,,
unknown,"Account Management","Windows Vista, Windows Server 2008","A security-disabled local group was created.",4744,"Distribution Group Management",,,
unknown,"Account Management","Windows Vista, Windows Server 2008","A security-disabled local group was changed.",4745,"Distribution Group Management",,,
unknown,"Account Management","Windows Vista, Windows Server 2008","A member was added to a security-disabled local group.",4746,"Distribution Group Management",,,
unknown,"Account Management","Windows Vista, Windows Server 2008","A member was removed from a security-disabled local group.",4747,"Distribution Group Management",,,
unknown,"Account Management","Windows Vista, Windows Server 2008","A security-disabled local group was deleted.",4748,"Distribution Group Management",,,
unknown,"Account Management","Windows Vista, Windows Server 2008","A security-disabled global group was created.",4749,"Distribution Group Management",,,
unknown,"Account Management","Windows Vista, Windows Server 2008","A security-disabled global group was changed.",4750,"Distribution Group Management",,,
unknown,"Account Management","Windows Vista, Windows Server 2008","A member was added to a security-disabled global group.",4751,"Distribution Group Management",,,
unknown,"Account Management","Windows Vista, Windows Server 2008","A member was removed from a security-disabled global group.",4752,"Distribution Group Management",,,
unknown,"Account Management","Windows Vista, Windows Server 2008","A security-disabled global group was deleted.",4753,"Distribution Group Management",,,
success,"Account Management","Windows Vista, Windows Server 2008","A security-enabled universal group was created.",4754,"Security Group Management",,,
success,"Account Management","Windows Vista, Windows Server 2008","A security-enabled universal group was changed.",4755,"Security Group Management",,,
success,"Account Management","Windows Vista, Windows Server 2008","A member was added to a security-enabled universal group.",4756,"Security Group Management",,,
success,"Account Management","Windows Vista, Windows Server 2008","A member was removed from a security-enabled universal group.",4757,"Security Group Management",,,
unknown,"Account Management","Windows Vista, Windows Server 2008","A security-enabled universal group was deleted.",4758,"Security Group Management",,,
unknown,"Account Management","Windows Vista, Windows Server 2008","A security-disabled universal group was created.",4759,"Distribution Group Management",,,
unknown,"Account Management","Windows Vista, Windows Server 2008","A security-disabled universal group was changed.",4760,"Distribution Group Management",,,
unknown,"Account Management","Windows Vista, Windows Server 2008","A member was added to a security-disabled universal group.",4761,"Distribution Group Management",,,
unknown,"Account Management","Windows Vista, Windows Server 2008","A member was removed from a security-disabled universal group.",4762,"Distribution Group Management",,,
unknown,"Account Management","Windows Vista, Windows Server 2008","A group�s type was changed.",4764,"Security Group Management",,,
unknown,"Account Management","Windows Vista, Windows Server 2008","SID History was added to an account.",4765,"User Account Management",,,
unknown,"Account Management","Windows Vista, Windows Server 2008","An attempt to add SID History to an account failed.",4766,"User Account Management",,,
modified,"Account Management","Windows Vista, Windows Server 2008","A user account was unlocked.",4767,"User Account Management",,,user
failure,"Account Logon","Windows Vista, Windows Server 2008","A Kerberos authentication ticket (TGT) was requested.",4768,"Kerberos Authentication Service",,,
failure,"Account Logon","Windows Vista, Windows Server 2008","A Kerberos service ticket was requested.",4769,"Kerberos Service Ticket Operations",,,
success,"Account Logon","Windows Vista, Windows Server 2008","A Kerberos service ticket was renewed.",4770,"Kerberos Service Ticket Operations",,,
failure,"Account Logon","Windows Vista, Windows Server 2008","Kerberos pre-authentication failed.",4771,"Kerberos Authentication Service",,,
unknown,"Account Logon","Windows Vista, Windows Server 2008","A Kerberos authentication ticket request failed.",4772,"Kerberos Authentication Service",,,
unknown,"Account Logon","Windows Vista, Windows Server 2008","An account was mapped for logon.",4774,"Credential Validation",,,
unknown,"Account Logon","Windows Vista, Windows Server 2008","An account could not be mapped for logon.",4775,"Credential Validation",,,
failure,"Account Logon","Windows Vista, Windows Server 2008","The domain controller attempted to validate the credentials for an account.",4776,"Credential Validation",,,
unknown,"Account Logon","Windows Vista, Windows Server 2008","The domain controller failed to validate the credentials for an account.",4777,"Credential Validation",,,
success,"Logon/Logoff","Windows Vista, Windows Server 2008","A session was reconnected to a Window Station.",4778,"Other Logon/Logoff Events",,,
success,"Logon/Logoff","Windows Vista, Windows Server 2008","A session was disconnected from a Window Station.",4779,"Other Logon/Logoff Events",,,
success,"Account Management","Windows Vista, Windows Server 2008","The ACL was set on accounts which are members of administrators groups.",4780,"User Account Management",,,
modified,"Account Management","Windows Vista, Windows Server 2008","The name of an account was changed:",4781,"User Account Management",,,user
unknown,"Account Management","Windows Vista, Windows Server 2008","The password hash an account was accessed.",4782,"Other Account Management Events",,,
unknown,"Account Management","Windows Vista, Windows Server 2008","A basic application group was created.",4783,"Application Group Management",,,
unknown,"Account Management","Windows Vista, Windows Server 2008","A basic application group was changed.",4784,"Application Group Management",,,
unknown,"Account Management","Windows Vista, Windows Server 2008","A member was added to a basic application group.",4785,"Application Group Management",,,
unknown,"Account Management","Windows Vista, Windows Server 2008","A member was removed from a basic application group.",4786,"Application Group Management",,,
unknown,"Account Management","Windows Vista, Windows Server 2008","A non-member was added to a basic application group.",4787,"Application Group Management",,,
unknown,"Account Management","Windows Vista, Windows Server 2008","A non-member was removed from a basic application group.",4788,"Application Group Management",,,
unknown,"Account Management","Windows Vista, Windows Server 2008","A basic application group was deleted.",4789,"Application Group Management",,,
unknown,"Account Management","Windows Vista, Windows Server 2008","An LDAP query group was created.",4790,"Application Group Management",,,
unknown,"Account Management","Windows Vista, Windows Server 2008","The Password Policy Checking API was called.",4793,"Other Account Management Events",,,
unknown,"Account Management","Windows Vista, Windows Server 2008","An attempt was made to set the Directory Services Restore Mode.",4794,"User Account Management",,,
success,"Logon/Logoff","Windows Vista, Windows Server 2008","The workstation was locked.",4800,"Other Logon/Logoff Events",,,
unknown,"Logon/Logoff","Windows Vista, Windows Server 2008","The workstation was unlocked.",4801,"Other Logon/Logoff Events",,,
unknown,"Logon/Logoff","Windows Vista, Windows Server 2008","The screen saver was invoked.",4802,"Other Logon/Logoff Events",,,
unknown,"Logon/Logoff","Windows Vista, Windows Server 2008","The screen saver was dismissed.",4803,"Other Logon/Logoff Events",,,
unknown,System,"Windows Vista, Windows Server 2008","RPC detected an integrity violation while decrypting an incoming message.",4816,"System Integrity",,,
unknown,"Policy Change","Windows 7, Windows Server 2008 R2","Auditing settings on an object were changed.",4817,"Audit Policy Change",,,
unknown,"Object Access","Windows 8, Windows Server 2012","Proposed Central Access Policy does not grant the same access permissions as the current Central Access Policy",4818,"Central Policy Staging",,,
unknown,"Policy Change","Windows 8, Windows Server 2012","Central Access Policies on the machine have been changed.",4819,"Other Policy Change Events",,,
unknown,"Policy Change","Windows Vista, Windows Server 2008","A namespace collision was detected.",4864,"Authentication Policy Change",,,
unknown,"Policy Change","Windows Vista, Windows Server 2008","A trusted forest information entry was added.",4865,"Authentication Policy Change",,,
unknown,"Policy Change","Windows Vista, Windows Server 2008","A trusted forest information entry was removed.",4866,"Authentication Policy Change",,,
unknown,"Policy Change","Windows Vista, Windows Server 2008","A trusted forest information entry was modified.",4867,"Authentication Policy Change",,,
unknown,"Object Access","Windows Vista, Windows Server 2008","The certificate manager denied a pending certificate request.",4868,"Certification Services",,,
unknown,"Object Access","Windows Vista, Windows Server 2008","Certificate Services received a resubmitted certificate request.",4869,"Certification Services",,,
unknown,"Object Access","Windows Vista, Windows Server 2008","Certificate Services revoked a certificate.",4870,"Certification Services",,,
unknown,"Object Access","Windows Vista, Windows Server 2008","Certificate Services received a request to publish the certificate revocation list (CRL).",4871,"Certification Services",,,
unknown,"Object Access","Windows Vista, Windows Server 2008","Certificate Services published the certificate revocation list (CRL).",4872,"Certification Services",,,
unknown,"Object Access","Windows Vista, Windows Server 2008","A certificate request extension changed.",4873,"Certification Services",,,
unknown,"Object Access","Windows Vista, Windows Server 2008","One or more certificate request attributes changed.",4874,"Certification Services",,,
unknown,"Object Access","Windows Vista, Windows Server 2008","Certificate Services received a request to shut down.",4875,"Certification Services",,,
unknown,"Object Access","Windows Vista, Windows Server 2008","Certificate Services backup started.",4876,"Certification Services",,,
unknown,"Object Access","Windows Vista, Windows Server 2008","Certificate Services backup completed.",4877,"Certification Services",,,
unknown,"Object Access","Windows Vista, Windows Server 2008","Certificate Services restore started.",4878,"Certification Services",,,
unknown,"Object Access","Windows Vista, Windows Server 2008","Certificate Services restore completed.",4879,"Certification Services",,,
unknown,"Object Access","Windows Vista, Windows Server 2008","Certificate Services started.",4880,"Certification Services",,,
unknown,"Object Access","Windows Vista, Windows Server 2008","Certificate Services stopped.",4881,"Certification Services",,,
unknown,"Object Access","Windows Vista, Windows Server 2008","The security permissions for Certificate Services changed.",4882,"Certification Services",,,
unknown,"Object Access","Windows Vista, Windows Server 2008","Certificate Services retrieved an archived key.",4883,"Certification Services",,,
unknown,"Object Access","Windows Vista, Windows Server 2008","Certificate Services imported a certificate into its database.",4884,"Certification Services",,,
unknown,"Object Access","Windows Vista, Windows Server 2008","The audit filter for Certificate Services changed.",4885,"Certification Services",,,
unknown,"Object Access","Windows Vista, Windows Server 2008","Certificate Services received a certificate request.",4886,"Certification Services",,,
unknown,"Object Access","Windows Vista, Windows Server 2008","Certificate Services approved a certificate request and issued a certificate.",4887,"Certification Services",,,
unknown,"Object Access","Windows Vista, Windows Server 2008","Certificate Services denied a certificate request.",4888,"Certification Services",,,
unknown,"Object Access","Windows Vista, Windows Server 2008","Certificate Services set the status of a certificate request to pending.",4889,"Certification Services",,,
unknown,"Object Access","Windows Vista, Windows Server 2008","The certificate manager settings for Certificate Services changed.",4890,"Certification Services",,,
unknown,"Object Access","Windows Vista, Windows Server 2008","A configuration entry changed in Certificate Services.",4891,"Certification Services",,,
unknown,"Object Access","Windows Vista, Windows Server 2008","A property of Certificate Services changed.",4892,"Certification Services",,,
unknown,"Object Access","Windows Vista, Windows Server 2008","Certificate Services archived a key.",4893,"Certification Services",,,
unknown,"Object Access","Windows Vista, Windows Server 2008","Certificate Services imported and archived a key.",4894,"Certification Services",,,
unknown,"Object Access","Windows Vista, Windows Server 2008","Certificate Services published the CA certificate to Active Directory Domain Services.",4895,"Certification Services",,,
unknown,"Object Access","Windows Vista, Windows Server 2008","One or more rows have been deleted from the certificate database.",4896,"Certification Services",,,
unknown,"Object Access","Windows Vista, Windows Server 2008","Role separation enabled:",4897,"Certification Services",,,
unknown,"Object Access","Windows Vista, Windows Server 2008","Certificate Services loaded a template.",4898,"Certification Services",,,
success,"Policy Change","Windows Vista, Windows Server 2008","The Per-user audit policy table was created.",4902,"Audit Policy Change",,,
success,"Policy Change","Windows Vista, Windows Server 2008","An attempt was made to register a security event source.",4904,"Audit Policy Change",,,
success,"Policy Change","Windows Vista, Windows Server 2008","An attempt was made to unregister a security event source.",4905,"Audit Policy Change",,,
unknown,"Policy Change","Windows Vista, Windows Server 2008","The CrashOnAuditFail value has changed.",4906,"Audit Policy Change",,,
success,"Policy Change","Windows Vista, Windows Server 2008","Auditing settings on object were changed.",4907,"Audit Policy Change",,,
unknown,"Policy Change","Windows Vista, Windows Server 2008","Special Groups Logon table modified.",4908,"Audit Policy Change",,,
unknown,"Policy Change","Windows Vista, Windows Server 2008","The local policy settings for the TBS were changed.",4909,"Other Policy Change Events",,,
unknown,"Policy Change","Windows Vista, Windows Server 2008","The group policy settings for the TBS were changed.",4910,"Other Policy Change Events",,,
unknown,"Policy Change","Windows 8, Windows Server 2012","Resource attributes of the object were changed.",4911,"Authorization Policy Change",,,
unknown,"Policy Change","Windows Vista, Windows Server 2008","Per User Audit Policy was changed.",4912,"Audit Policy Change",,,
unknown,"Policy Change","Windows 8, Windows Server 2012","Central Access Policy on the object was changed.",4913,"Authorization Policy Change",,,
unknown,"DS Access","Windows Vista, Windows Server 2008","An Active Directory replica source naming context was established.",4928,"Detailed Directory Service Replication",,,
unknown,"DS Access","Windows Vista, Windows Server 2008","An Active Directory replica source naming context was removed.",4929,"Detailed Directory Service Replication",,,
unknown,"DS Access","Windows Vista, Windows Server 2008","An Active Directory replica source naming context was modified.",4930,"Detailed Directory Service Replication",,,
success,"DS Access","Windows Vista, Windows Server 2008","An Active Directory replica destination naming context was modified.",4931,"Detailed Directory Service Replication",,,
success,"DS Access","Windows Vista, Windows Server 2008","Synchronization of a replica of an Active Directory naming context has begun.",4932,"Directory Service Replication",,,
failure,"DS Access","Windows Vista, Windows Server 2008","Synchronization of a replica of an Active Directory naming context has ended.",4933,"Directory Service Replication",,,
unknown,"DS Access","Windows Vista, Windows Server 2008","Attributes of an Active Directory object were replicated.",4934,"Detailed Directory Service Replication",,,
unknown,"DS Access","Windows Vista, Windows Server 2008","Replication failure begins.",4935,"Detailed Directory Service Replication",,,
unknown,"DS Access","Windows Vista, Windows Server 2008","Replication failure ends.",4936,"Detailed Directory Service Replication",,,
unknown,"DS Access","Windows Vista, Windows Server 2008","A lingering object was removed from a replica.",4937,"Detailed Directory Service Replication",,,
success,"Policy Change","Windows Vista, Windows Server 2008","The following policy was active when the Windows Firewall started.",4944,"MPSSVC Rule-Level Policy Change",,,
success,"Policy Change","Windows Vista, Windows Server 2008","A rule was listed when the Windows Firewall started.",4945,"MPSSVC Rule-Level Policy Change",,,
created,"Policy Change","Windows Vista, Windows Server 2008","A change has been made to Windows Firewall exception list. A rule was added.",4946,"MPSSVC Rule-Level Policy Change",success,Windows Firewall Policy,rule
modified,"Policy Change","Windows Vista, Windows Server 2008","A change has been made to Windows Firewall exception list. A rule was modified.",4947,"MPSSVC Rule-Level Policy Change",success,Windows Firewall Policy,rule
deleted,"Policy Change","Windows Vista, Windows Server 2008","A change has been made to Windows Firewall exception list. A rule was deleted.",4948,"MPSSVC Rule-Level Policy Change",success,Windows Firwall Policy,rule
unknown,"Policy Change","Windows Vista, Windows Server 2008","Windows Firewall settings were restored to the default values.",4949,"MPSSVC Rule-Level Policy Change",,,
unknown,"Policy Change","Windows Vista, Windows Server 2008","A Windows Firewall setting has changed.",4950,"MPSSVC Rule-Level Policy Change",,,
failure,"Policy Change","Windows Vista, Windows Server 2008","A rule has been ignored because its major version number was not recognized by Windows Firewall.",4951,"MPSSVC Rule-Level Policy Change",,,
unknown,"Policy Change","Windows Vista, Windows Server 2008","Parts of a rule have been ignored because its minor version number was not recognized by Windows Firewall. The other parts of the rule will be enforced.",4952,"MPSSVC Rule-Level Policy Change",,,
failure,"Policy Change","Windows Vista, Windows Server 2008","A rule has been ignored by Windows Firewall because it could not parse the rule.",4953,"MPSSVC Rule-Level Policy Change",,,
unknown,"Policy Change","Windows Vista, Windows Server 2008","Windows Firewall Group Policy settings have changed. The new settings have been applied.",4954,"MPSSVC Rule-Level Policy Change",,,
success,"Policy Change","Windows Vista, Windows Server 2008","Windows Firewall has changed the active profile.",4956,"MPSSVC Rule-Level Policy Change",,,
unknown,"Policy Change","Windows Vista, Windows Server 2008","Windows Firewall did not apply the following rule:",4957,"MPSSVC Rule-Level Policy Change",,,
unknown,"Policy Change","Windows Vista, Windows Server 2008","Windows Firewall did not apply the following rule because the rule referred to items not configured on this computer:",4958,"MPSSVC Rule-Level Policy Change",,,
unknown,System,"Windows Vista, Windows Server 2008","IPsec dropped an inbound packet that failed an integrity check. If this problem persists, it could indicate a network issue or that packets are being modified in transit to this computer. Verify that the packets sent from the remote computer are the same as those received by this computer. This error might also indicate interoperability problems with other IPsec implementations.",4960,"IPsec Driver",,,
unknown,System,"Windows Vista, Windows Server 2008","IPsec dropped an inbound packet that failed a replay check. If this problem persists, it could indicate a replay attack against this computer.",4961,"IPsec Driver",,,
unknown,System,"Windows Vista, Windows Server 2008","IPsec dropped an inbound packet that failed a replay check. The inbound packet had too low a sequence number to ensure it was not a replay.",4962,"IPsec Driver",,,
unknown,System,"Windows Vista, Windows Server 2008","IPsec dropped an inbound clear text packet that should have been secured. This is usually due to the remote computer changing its IPsec policy without informing this computer. This could also be a spoofing attack attempt.",4963,"IPsec Driver",,,
unknown,"Logon/Logoff","Windows Vista, Windows Server 2008","Special groups have been assigned to a new logon.",4964,"Special Logon",,,
unknown,System,"Windows Vista, Windows Server 2008","IPsec received a packet from a remote computer with an incorrect Security Parameter Index (SPI). This is usually caused by malfunctioning hardware that is corrupting packets. If these errors persist, verify that the packets sent from the remote computer are the same as those received by this computer. This error may also indicate interoperability problems with other IPsec implementations. In that case, if connectivity is not impeded, then these events can be ignored.",4965,"IPsec Driver",,,
unknown,"Logon/Logoff","Windows Vista, Windows Server 2008","During Main Mode negotiation, IPsec received an invalid negotiation packet. If this problem persists, it could indicate a network issue or an attempt to modify or replay this negotiation.",4976,"IPsec Main Mode",,,
unknown,"Logon/Logoff","Windows Vista, Windows Server 2008","During Quick Mode negotiation, IPsec received an invalid negotiation packet. If this problem persists, it could indicate a network issue or an attempt to modify or replay this negotiation.",4977,"IPsec Quick Mode",,,
